sheng,shi,xian,xiangzhen,cun,geocodeAdd,lon,lat
福建省,泉州市,晋江市,陈埭镇,苏厝村,福建省苏厝村,118.591299,24.834258
福建省,泉州市,晋江市,陈埭镇,溪边村,福建省溪边村,118.614158,24.832176
福建省,泉州市,晋江市,陈埭镇,仙石村,福建省仙石村,118.629268,24.862962
福建省,泉州市,晋江市,陈埭镇,洋埭村,福建省洋埭村,118.608422,24.849169
福建省,泉州市,晋江市,磁灶镇,张林村,福建省张林村,118.518949,24.809867
福建省,泉州市,晋江市,龙湖镇,埔锦村,福建省埔锦村,118.620468,24.70879
福建省,泉州市,晋江市,龙湖镇,石龟村,福建省石龟村,118.637367,24.691764
福建省,泉州市,晋江市,龙湖镇,梧坑村,福建省梧坑村,118.449221,24.92097
福建省,泉州市,晋江市,龙湖镇,新丰村,福建省新丰村,118.809742,25.985647
福建省,泉州市,晋江市,龙湖镇,秀山村,福建省秀山村,118.641525,24.711128
福建省,泉州市,晋江市,永和镇,坂头村,福建省坂头村,119.405109,25.629765
福建省,泉州市,晋江市,永和镇,旦厝村,福建省旦厝村,118.603039,24.703944
福建省,泉州市,晋江市,永和镇,东茂村,福建省东茂村,118.595219,24.708213
福建省,泉州市,晋江市,永和镇,割山村,福建省割山村,118.947597,25.153211
福建省,泉州市,晋江市,永和镇,后埔村,福建省后埔村,118.588084,24.711951
福建省,泉州市,晋江市,永和镇,马坪村,福建省马坪村,118.560423,24.685682
福建省,泉州市,晋江市,永和镇,玉湖村,福建省玉湖村,118.467815,25.007778
福建省,泉州市,晋江市,永和镇,玉溪村,福建省玉溪村,118.328368,25.932991
福建省,泉州市,南安市,康美镇,福铁村,福建省福铁村,NA,NA
福建省,泉州市,南安市,乐峰镇,飞云村,福建省飞云村,118.556435,25.258872
福建省,泉州市,南安市,乐峰镇,炉山村,福建省炉山村,118.556978,25.208156
福建省,泉州市,南安市,美林街道,松岭村,福建省松岭村,117.77991,24.354346
福建省,泉州市,南安市,霞美镇,邱钟村,福建省邱钟村,118.462285,24.912799
福建省,泉州市,南安市,霞美镇,山美村,福建省山美村,118.077459,24.983133
福建省,泉州市,南安市,霞美镇,长福村,福建省长福村,118.494861,24.942917
福建省,泉州市,石狮市,鸿山镇,伍堡村,福建省伍堡村,118.755725,24.737838
福建省,泉州市,石狮市,永宁镇,前埔村,福建省前埔村,118.465101,24.743711
福建省,泉州市,台商投资区,东园镇,后港村,福建省后港村,117.281554,23.760139
福建省,泉州市,台商投资区,东园镇,琅山村,福建省琅山村,118.731743,24.85552
福建省,泉州市,台商投资区,东园镇,秀土村,福建省秀土村,117.9249002,26.4836842
福建省,泉州市,台商投资区,洛阳镇,屿头村,福建省屿头村,119.728368,26.354522
福建省,泉州市,台商投资区,张坂镇,黄岭村,福建省黄岭村,117.977872,25.181241
福建省,厦门市,海沧区,海沧街道,石塘村,福建省石塘村,118.045205,24.496129
福建省,厦门市,翔安区,马巷镇,赵岗村,福建省赵岗村,118.271662,24.675883
福建省,漳州市,龙海市,九湖镇,百花村,福建省百花村,117.791405,24.423161
福建省,漳州市,芗城区,石亭镇,北斗村,福建省北斗村,117.630389,24.547978
广东省,潮州市,饶平县,钱东镇,上浮山村,广东省上浮山村,116.933509,23.680972
广东省,潮州市,饶平县,钱东镇,紫云村,广东省紫云村,116.923175,23.675925
广东省,佛山市,禅城区,南庄镇,吉利村,广东省吉利村,113.013905,22.972591
广东省,佛山市,禅城区,南庄镇,溶洲村,广东省溶洲村,113.05807,22.996657
广东省,佛山市,南海区,丹灶镇,东联村,广东省东联村,113.936726,23.902027
广东省,佛山市,南海区,九江镇,沙头村,广东省沙头村,113.84499,23.168404
广东省,佛山市,南海区,九江镇,石江村,广东省石江村,113.008178,22.903591
广东省,佛山市,南海区,九江镇,镇南村,广东省镇南村,112.924429,22.87557
广东省,佛山市,南海区,里水镇,白塔村,广东省白塔村,116.599309,23.632981
